contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean
COST250620C00490000,2023-12-20 20:36:06+00:00,490.0,208.92,206.45,213.85,0.0,0.0,4.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,210.14999999999998,True,True,False
COST250620C00495000,2024-12-16 05:01:19+00:00,495.0,212.85,220.0,229.0,0.0,0.0,,4.0,1.0000000000000003e-05,True,REGULAR,USD,224.5,False,True,False
COST250620C00500000,2025-03-12 14:20:55+00:00,500.0,442.0,462.0,471.65,0.0,0.0,3.0,7.0,1.0000000000000003e-05,True,REGULAR,USD,466.825,False,False,False
COST250620C00505000,2025-04-07 15:15:30+00:00,505.0,392.85,488.2,495.2,0.0,0.0,2.0,12.0,0.7807639111328125,True,REGULAR,USD,491.7,False,False,False
COST250620C00510000,2023-12-18 18:43:30+00:00,510.0,212.85,0.0,0.0,0.0,0.0,1.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,212.85,True,True,False
COST250620C00515000,2025-03-24 19:27:46+00:00,515.0,414.35,455.0,461.75,0.0,0.0,1.0,16.0,1.0000000000000003e-05,True,REGULAR,USD,458.375,False,False,False
COST250620C00520000,2025-01-06 14:32:15+00:00,520.0,406.6,0.0,0.0,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,406.6,True,True,True
COST250620C00525000,2025-02-06 16:06:03+00:00,525.0,531.5,442.35,449.25,0.0,0.0,1.0,12.0,1.0000000000000003e-05,True,REGULAR,USD,445.8,False,False,False
COST250620C00530000,2023-12-21 16:25:11+00:00,530.0,180.1,0.0,0.0,0.0,0.0,1.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,180.1,True,True,False
COST250620C00535000,2025-04-30 17:36:56+00:00,535.0,459.71,455.15,463.55,0.0,0.0,5.0,22.0,0.8710950390625,True,REGULAR,USD,459.35,False,False,False
COST250620C00540000,2024-12-16 05:01:19+00:00,540.0,347.0,390.0,399.0,0.0,0.0,15.0,6.0,1.0000000000000003e-05,True,REGULAR,USD,394.5,True,True,True
COST250620C00545000,2025-04-29 18:16:06+00:00,545.0,448.59,445.25,453.7,0.0,0.0,1.0,11.0,0.856324678955078,True,REGULAR,USD,449.475,False,False,False
COST250620C00550000,2023-12-20 17:28:59+00:00,550.0,167.62,0.0,0.0,0.0,0.0,1.0,123.0,1.0000000000000003e-05,True,REGULAR,USD,167.62,True,True,False
COST250620C00555000,2025-04-23 13:35:45+00:00,555.0,437.65,436.05,443.8,0.0,0.0,1.0,27.0,0.838746729736328,True,REGULAR,USD,439.925,False,False,False
COST250620C00560000,2025-04-17 16:25:49+00:00,560.0,432.93,434.35,441.45,0.0,0.0,1.0,9.0,0.7756370092773439,True,REGULAR,USD,437.9,True,False,False
COST250620C00565000,2025-04-28 15:41:25+00:00,565.0,415.15,428.85,434.6,0.0,0.0,1.0,16.0,0.6649203430175783,True,REGULAR,USD,431.725,True,False,False
COST250620C00570000,2023-12-26 18:51:22+00:00,570.0,158.71,0.0,0.0,0.0,0.0,2.0,28.0,1.0000000000000003e-05,True,REGULAR,USD,158.71,True,True,False
COST250620C00575000,2025-03-14 13:41:51+00:00,575.0,320.0,0.0,0.0,0.0,0.0,2.0,54.0,1.0000000000000003e-05,True,REGULAR,USD,320.0,False,False,False
COST250620C00580000,2025-03-20 19:49:04+00:00,580.0,324.65,414.85,422.75,0.0,0.0,10.0,16.0,0.7829611547851563,True,REGULAR,USD,418.8,False,False,False
COST250620C00585000,2025-04-15 19:15:48+00:00,585.0,401.35,408.65,415.95,0.0,0.0,11.0,43.0,0.6817658776855471,True,REGULAR,USD,412.29999999999995,True,False,False
COST250620C00590000,2023-12-22 18:03:26+00:00,590.0,142.98,0.0,0.0,0.0,0.0,1.0,81.0,1.0000000000000003e-05,True,REGULAR,USD,142.98,True,True,False
COST250620C00595000,2025-03-10 17:37:05+00:00,595.0,349.62,369.0,378.3,0.0,0.0,1.0,103.0,1.0000000000000003e-05,True,REGULAR,USD,373.65,False,False,False
COST250620C00600000,2025-04-03 13:34:48+00:00,600.0,358.95,395.0,401.55,0.0,0.0,1.0,21.0,0.7137479797363282,True,REGULAR,USD,398.275,False,False,False
COST250620C00605000,2025-03-31 13:51:35+00:00,605.0,329.5,388.65,394.6,0.0,0.0,2.0,72.0,0.5803264624023439,True,REGULAR,USD,391.625,True,False,False
COST250620C00610000,2023-12-22 18:52:51+00:00,610.0,130.77,0.0,0.0,0.0,0.0,2.0,127.0,1.0000000000000003e-05,True,REGULAR,USD,130.77,True,True,False
COST250620C00615000,2024-11-27 20:45:15+00:00,615.0,362.39,354.25,361.65,0.0,0.0,1.0,17.0,1.0000000000000003e-05,True,REGULAR,USD,357.95,False,False,False
COST250620C00620000,2025-03-14 14:00:46+00:00,620.0,273.65,0.0,0.0,0.0,0.0,1.0,10.0,1.0000000000000003e-05,True,REGULAR,USD,273.65,True,True,False
COST250620C00625000,2025-04-30 15:39:04+00:00,625.0,367.35,368.55,375.0,0.0,0.0,138.0,195.0,0.5620160986328125,True,REGULAR,USD,371.775,False,False,False
